iter	Passed	Remaining
1479	3528	1239
1480	3530	1237
1481	3533	1234
1482	3535	1232
1483	3537	1230
1484	3540	1227
1485	3543	1225
1486	3545	1222
1487	3548	1220
1488	3550	1218
1489	3552	1215
1490	3554	1213
1491	3556	1210
1492	3558	1208
1493	3560	1205
1494	3564	1204
1495	3567	1201
1496	3569	1199
1497	3572	1197
1498	3574	1194
1499	3576	1192
1500	3579	1190
1501	3582	1187
1502	3584	1185
1503	3586	1182
1504	3588	1180
1505	3590	1177
1506	3593	1175
1507	3595	1173
1508	3598	1170
1509	3600	1168
1510	3602	1165
1511	3604	1163
1512	3606	1160
1513	3609	1158
1514	3611	1156
1515	3613	1153
1516	3615	1151
1517	3617	1148
1518	3620	1146
1519	3622	1143
1520	3624	1141
1521	3627	1139
1522	3629	1136
1523	3632	1134
1524	3634	1132
1525	3637	1129
1526	3639	1127
1527	3641	1124
1528	3644	1122
1529	3646	1120
1530	3648	1117
1531	3650	1115
1532	3652	1112
1533	3655	1110
1534	3657	1107
1535	3660	1105
1536	3662	1103
1537	3665	1101
1538	3667	1098
1539	3670	1096
1540	3672	1093
1541	3674	1091
1542	3677	1089
1543	3679	1086
1544	3681	1084
1545	3683	1081
1546	3686	1079
1547	3688	1076
1548	3691	1074
1549	3693	1072
1550	3695	1069
1551	3697	1067
1552	3699	1064
1553	3701	1062
1554	3703	1059
1555	3706	1057
1556	3709	1055
1557	3711	1052
1558	3713	1050
1559	3715	1048
1560	3717	1045
1561	3720	1043
1562	3722	1040
1563	3725	1038
1564	3727	1036
1565	3729	1033
1566	3732	1031
1567	3734	1028
1568	3736	1026
1569	3739	1024
1570	3742	1022
1571	3745	1019
1572	3747	1017
1573	3749	1014
1574	3751	1012
1575	3753	1009
1576	3755	1007
1577	3758	1005
1578	3760	1002
1579	3763	1000
1580	3765	997
1581	3767	995
1582	3769	993
1583	3773	990
1584	3775	988
1585	3778	986
1586	3780	983
1587	3782	981
1588	3784	978
1589	3786	976
1590	3789	974
1591	3792	971
1592	3794	969
1593	3796	966
1594	3798	964
1595	3800	962
1596	3802	959
1597	3805	957
1598	3808	954
1599	3810	952
1600	3812	950
1601	3814	947
1602	3816	945
1603	3819	942
1604	3822	940
1605	3824	938
1606	3826	935
1607	3829	933
1608	3831	931
1609	3834	928
1610	3837	926
1611	3839	924
1612	3841	921
1613	3843	919
1614	3845	916
1615	3847	914
1616	3850	911
1617	3852	909
1618	3854	907
1619	3857	904
1620	3859	902
1621	3862	900
1622	3864	897
1623	3866	895
1624	3869	892
1625	3872	890
1626	3874	888
1627	3876	885
1628	3878	883
1629	3880	880
1630	3882	878
1631	3885	876
1632	3888	873
1633	3890	871
1634	3892	868
1635	3894	866
1636	3896	864
1637	3898	861
1638	3900	859
1639	3903	856
1640	3906	854
1641	3908	852
1642	3910	849
1643	3912	847
1644	3915	844
1645	3917	842
1646	3920	840
1647	3922	837
1648	3924	835
1649	3927	833
1650	3929	830
1651	3932	828
1652	3934	826
1653	3937	823
1654	3939	821
1655	3941	818
1656	3943	816
1657	3945	813
1658	3947	811
1659	3950	809
1660	3952	806
1661	3955	804
1662	3957	802
1663	3960	799
1664	3962	797
1665	3964	794
1666	3967	792
1667	3969	790
1668	3971	787
1669	3974	785
1670	3976	782
1671	3978	780
1672	3980	777
1673	3982	775
1674	3985	773
1675	3988	770
1676	3990	768
1677	3992	766
1678	3994	763
1679	3996	761
1680	3998	758
1681	4001	756
1682	4003	754
1683	4005	751
1684	4008	749
1685	4009	746
1686	4011	744
1687	4015	742
1688	4017	739
1689	4019	737
1690	4021	734
1691	4023	732
1692	4026	730
1693	4028	727
1694	4031	725
1695	4034	723
1696	4036	720
1697	4038	718
1698	4040	715
1699	4042	713
1700	4044	711
1701	4048	708
1702	4050	706
1703	4052	703
1704	4054	701
1705	4057	699
1706	4059	696
1707	4062	694
1708	4065	692
